St,Reference,BP,G_L,Cost,Assignment,DocumentNo,Ty,Doc Date,PK,Amount in doc curr,Quantity,Clrng doc,Materia,Text,AssignmentDate,DocDate,POSNumber,AmountCURR,FileName,ETL_Date,YYYYMM_DocDate
,,0188,1106070,,1000220250228,5108001157,GD,03.03.2025,40,412233.00,,,,10002BBL CPICK,20250228,20250303,10002,412233,1106070_25_03_13.XLSx,2025-03-31 16:15:51.328296,202503
,,0188,1106070,,1000320250228,5108001157,GD,03.03.2025,40,612812.00,,,,10003BBL CPICK,20250228,20250303,10003,612812,1106070_25_03_13.XLSx,2025-03-31 16:15:51.328296,202503
,,0188,1106070,,1000820250228,5108001157,GD,03.03.2025,40,202695.00,,,,10008BBL CPICK,20250228,20250303,10008,202695,1106070_25_03_13.XLSx,2025-03-31 16:15:51.328296,202503
,,0188,1106070,,1001020250228,5108001157,GD,03.03.2025,40,450762.00,,,,10010BBL CPICK,20250228,20250303,10010,450762,1106070_25_03_13.XLSx,2025-03-31 16:15:51.328296,202503
,,0188,1106070,,1001720250228,5108001157,GD,03.03.2025,40,622285.00,,,,10017BBL CPICK,20250228,20250303,10017,622285,1106070_25_03_13.XLSx,2025-03-31 16:15:51.328296,202503
,,0188,1106070,,1001820250228,5108001157,GD,03.03.2025,40,433055.00,,,,10018BBL CPICK,20250228,20250303,10018,433055,1106070_25_03_13.XLSx,2025-03-31 16:15:51.328296,202503
,,0188,1106070,,1001920250228,5108001157,GD,03.03.2025,40,237676.00,,,,10019BBL CPICK,20250228,20250303,10019,237676,1106070_25_03_13.XLSx,2025-03-31 16:15:51.328296,202503
,,0188,1106070,,1002220250228,5108001157,GD,03.03.2025,40,404827.00,,,,10022BBL CPICK,20250228,20250303,10022,404827,1106070_25_03_13.XLSx,2025-03-31 16:15:51.328296,202503
,,0188,1106070,,1002320250228,5108001157,GD,03.03.2025,40,229114.00,,,,10023BBL CPICK,20250228,20250303,10023,229114,1106070_25_03_13.XLSx,2025-03-31 16:15:51.328296,202503
,,0188,1106070,,1002620250228,5108001157,GD,03.03.2025,40,317823.00,,,,10026BBL CPICK,20250228,20250303,10026,317823,1106070_25_03_13.XLSx,2025-03-31 16:15:51.328296,202503
,,0188,1106070,,1003220250228,5108001157,GD,03.03.2025,40,426345.00,,,,10032BBL CPICK,20250228,20250303,10032,426345,1106070_25_03_13.XLSx,2025-03-31 16:15:51.328296,202503
,,0188,1106070,,1003320250228,5108001157,GD,03.03.2025,40,520486.00,,,,10033BBL CPICK,20250228,20250303,10033,520486,1106070_25_03_13.XLSx,2025-03-31 16:15:51.328296,202503
,,0188,1106070,,1003420250228,5108001157,GD,03.03.2025,40,389837.00,,,,10034BBL CPICK,20250228,20250303,10034,389837,1106070_25_03_13.XLSx,2025-03-31 16:15:51.328296,202503
,,0188,1106070,,1003520250228,5108001157,GD,03.03.2025,40,320408.00,,,,10035BBL CPICK,20250228,20250303,10035,320408,1106070_25_03_13.XLSx,2025-03-31 16:15:51.328296,202503
,,0188,1106070,,1003720250228,5108001157,GD,03.03.2025,40,372336.00,,,,10037BBL CPICK,20250228,20250303,10037,372336,1106070_25_03_13.XLSx,2025-03-31 16:15:51.328296,202503
,,0188,1106070,,1003920250228,5108001157,GD,03.03.2025,40,924308.00,,,,10039BBL CPICK,20250228,20250303,10039,924308,1106070_25_03_13.XLSx,2025-03-31 16:15:51.328296,202503
,,0188,1106070,,1004020250228,5108001157,GD,03.03.2025,40,619614.00,,,,10040BBL CPICK,20250228,20250303,10040,619614,1106070_25_03_13.XLSx,2025-03-31 16:15:51.328296,202503
,,0188,1106070,,1004120250228,5108001157,GD,03.03.2025,40,793797.00,,,,10041BBL CPICK,20250228,20250303,10041,793797,1106070_25_03_13.XLSx,2025-03-31 16:15:51.328296,202503
,,0188,1106070,,1004720250228,5108001157,GD,03.03.2025,40,295440.00,,,,10047BBL CPICK,20250228,20250303,10047,295440,1106070_25_03_13.XLSx,2025-03-31 16:15:51.328296,202503
,,0188,1106070,,1005520250228,5108001157,GD,03.03.2025,40,922850.00,,,,10055BBL CPICK,20250228,20250303,10055,922850,1106070_25_03_13.XLSx,2025-03-31 16:15:51.328296,202503
,,0188,1106070,,1005620250228,5108001157,GD,03.03.2025,40,581010.00,,,,10056BBL CPICK,20250228,20250303,10056,581010,1106070_25_03_13.XLSx,2025-03-31 16:15:51.328296,202503
,,0188,1106070,,1005820250228,5108001157,GD,03.03.2025,40,214150.00,,,,10058BBL CPICK,20250228,20250303,10058,214150,1106070_25_03_13.XLSx,2025-03-31 16:15:51.328296,202503
,,0188,1106070,,1005920250228,5108001157,GD,03.03.2025,40,640009.00,,,,10059BBL CPICK,20250228,20250303,10059,640009,1106070_25_03_13.XLSx,2025-03-31 16:15:51.328296,202503
,,0188,1106070,,1006920250228,5108001157,GD,03.03.2025,40,935631.00,,,,10069BBL CPICK,20250228,20250303,10069,935631,1106070_25_03_13.XLSx,2025-03-31 16:15:51.328296,202503
,,0188,1106070,,1007220250228,5108001157,GD,03.03.2025,40,690625.00,,,,10072BBL CPICK,20250228,20250303,10072,690625,1106070_25_03_13.XLSx,2025-03-31 16:15:51.328296,202503
,,0188,1106070,,1007520250228,5108001157,GD,03.03.2025,40,895460.00,,,,10075BBL CPICK,20250228,20250303,10075,895460,1106070_25_03_13.XLSx,2025-03-31 16:15:51.328296,202503
,,0188,1106070,,1007620250228,5108001157,GD,03.03.2025,40,448998.00,,,,10076BBL CPICK,20250228,20250303,10076,448998,1106070_25_03_13.XLSx,2025-03-31 16:15:51.328296,202503
,,0188,1106070,,1008320250228,5108001157,GD,03.03.2025,40,861669.00,,,,10083BBL CPICK,20250228,20250303,10083,861669,1106070_25_03_13.XLSx,2025-03-31 16:15:51.328296,202503
,,0188,1106070,,1008520250228,5108001157,GD,03.03.2025,40,457567.00,,,,10085BBL CPICK,20250228,20250303,10085,457567,1106070_25_03_13.XLSx,2025-03-31 16:15:51.328296,202503
,,0188,1106070,,1008620250228,5108001157,GD,03.03.2025,40,846500.00,,,,10086BBL CPICK,20250228,20250303,10086,846500,1106070_25_03_13.XLSx,2025-03-31 16:15:51.328296,202503
,,0188,1106070,,1009320250228,5108001157,GD,03.03.2025,40,422990.00,,,,10093BBL CPICK,20250228,20250303,10093,422990,1106070_25_03_13.XLSx,2025-03-31 16:15:51.328296,202503
